claude samples=1733 peak_pcpu=5.3
Variane_testhar samples=177 peak_pcpu=128.0
cc1plus samples=56 peak_pcpu=140.0
sshd samples=52 peak_pcpu=0.8
MainThread samples=52 peak_pcpu=0.6
python3 samples=48 peak_pcpu=85.7
ccache samples=44 peak_pcpu=35.7
Rider.Backend samples=43 peak_pcpu=5.2
mysqladmin samples=6 peak_pcpu=4.0
git samples=1 peak_pcpu=105.0
