app,config,hash,memory_access_sites,tsan_calls_total,sha256,build_seconds
redis,orig,f3deebfbab60,0,0,7858fd2047c2ea8b5db30f97ea9de7b28da6cf0427b83662404b61079f4d9af9,5
redis,tsan,f3deebfbab60,37922,45186,46814c7ea09f2dbc97e8fc8254f50f0b34cd33b352fdde1842aac5f0a6aa5cf1,5
redis,tsan-dom_peeling-ea-lo-st-swmr,f3deebfbab60,43272,50591,68035024888ff1da81a94fd8e17d6acd3c89a2375d5d0304d99e81e667180d97,7
redis,tsan-stmt,f3deebfbab60,37863,45126,80578f09e325361aad2d9faf30c5d615d3292a53c5c8c0b35764fc70dc1728b6,5
redis,tsan-dom_peeling-ea-lo-st-swmr-stmt,f3deebfbab60,43248,50566,6381f7fc93a842e5f012803eb918bfa0cd02b8e7f33930294fcd8c42de4b59aa,7
