Running walthread1 for 20 seconds...
Thread 17 says: 40 checkpoints
Thread 16 says: 161 iterations
Thread 15 says: 161 iterations
Thread 14 says: 156 iterations
Thread 13 says: 171 iterations
Thread 12 says: 191 iterations
Thread 11 says: 152 iterations
Thread 10 says: 181 iterations
Thread 9 says: 186 iterations
Thread 8 says: 163 iterations
Thread 7 says: 166 iterations
Thread 6 says: 174 iterations
Thread 5 says: 179 iterations
Thread 4 says: 185 iterations
Thread 3 says: 177 iterations
Thread 2 says: 160 iterations
Thread 1 says: 165 iterations
0 errors out of 1 tests
