Running walthread1 for 20 seconds...
Thread 17 says: 40 checkpoints
Thread 16 says: 284 iterations
Thread 15 says: 313 iterations
Thread 14 says: 329 iterations
Thread 13 says: 251 iterations
Thread 12 says: 268 iterations
Thread 11 says: 277 iterations
Thread 10 says: 296 iterations
Thread 9 says: 270 iterations
Thread 8 says: 327 iterations
Thread 7 says: 334 iterations
Thread 6 says: 276 iterations
Thread 5 says: 287 iterations
Thread 4 says: 271 iterations
Thread 3 says: 298 iterations
Thread 2 says: 296 iterations
Thread 1 says: 310 iterations
0 errors out of 1 tests
