claude samples=221 peak_pcpu=5.3
remote-dev-serv samples=68 peak_pcpu=59.0
compile samples=34 peak_pcpu=1100.0
java samples=22 peak_pcpu=2586.0
Rider.Backend samples=22 peak_pcpu=5.2
sshd samples=18 peak_pcpu=0.8
crdb_nogo_actua samples=7 peak_pcpu=600.0
goyacc samples=5 peak_pcpu=125.0
builder samples=5 peak_pcpu=43.8
MainThread samples=4 peak_pcpu=0.8
protoc samples=2 peak_pcpu=9.0
git-remote-http samples=2 peak_pcpu=10.0
go samples=1 peak_pcpu=189.0
cc1 samples=1 peak_pcpu=108.0
