claude samples=1856 peak_pcpu=5.3
Variane_testhar samples=143 peak_pcpu=166.0
python3 samples=64 peak_pcpu=83.3
Rider.Backend samples=51 peak_pcpu=5.2
sshd samples=43 peak_pcpu=0.8
mysqladmin samples=7 peak_pcpu=3.3
git-remote-http samples=2 peak_pcpu=1.0
verilator_bin samples=1 peak_pcpu=105.0
mysql samples=1 peak_pcpu=20.0
