Running walthread1 for 20 seconds...
Thread 17 says: 40 checkpoints
Thread 16 says: 286 iterations
Thread 15 says: 316 iterations
Thread 14 says: 359 iterations
Thread 13 says: 325 iterations
Thread 12 says: 316 iterations
Thread 11 says: 310 iterations
Thread 10 says: 313 iterations
Thread 9 says: 303 iterations
Thread 8 says: 318 iterations
Thread 7 says: 343 iterations
Thread 6 says: 306 iterations
Thread 5 says: 303 iterations
Thread 4 says: 323 iterations
Thread 3 says: 262 iterations
Thread 2 says: 332 iterations
Thread 1 says: 309 iterations
0 errors out of 1 tests
