claude samples=260 peak_pcpu=5.3
remote-dev-serv samples=56 peak_pcpu=59.5
cc1plus samples=18 peak_pcpu=105.0
anvil samples=15 peak_pcpu=101.0
ccache samples=14 peak_pcpu=27.2
sshd samples=13 peak_pcpu=0.8
Rider.Backend samples=7 peak_pcpu=5.2
docker samples=4 peak_pcpu=1.6
make samples=3 peak_pcpu=15.6
git samples=2 peak_pcpu=107.0
sha256sum samples=1 peak_pcpu=100.0
