claude samples=885 peak_pcpu=5.3
Rider.Backend samples=31 peak_pcpu=5.2
cc1plus samples=30 peak_pcpu=106.0
sshd samples=22 peak_pcpu=0.8
MainThread samples=16 peak_pcpu=0.6
ccache samples=9 peak_pcpu=22.7
Variane_testhar samples=9 peak_pcpu=102.0
verilator_bin samples=5 peak_pcpu=114.0
perl samples=3 peak_pcpu=25.0
python3 samples=2 peak_pcpu=0.8
git-remote-http samples=2 peak_pcpu=4.8
