claude samples=276 peak_pcpu=5.3
remote-dev-serv samples=56 peak_pcpu=59.5
ccache samples=37 peak_pcpu=29.4
cc1plus samples=25 peak_pcpu=125.0
sshd samples=19 peak_pcpu=0.8
anvil samples=16 peak_pcpu=101.0
Rider.Backend samples=10 peak_pcpu=5.2
make samples=6 peak_pcpu=9.0
verilator_bin samples=5 peak_pcpu=100.0
perl samples=3 peak_pcpu=5.7
Variane_testhar samples=1 peak_pcpu=100.0
