Codec,FFBUILD,runs_completed,mean_time_s,stddev_time_s,min_time_s,max_time_s,mean_user_s,mean_system_s,max_mem_kb,command_template
"h264_libx264","ffmpeg-tsan-stmt","1/1",26.4800,0.0000,26.4800,26.4800,243.8900,10.7800,639592,"ffmpeg-tsan-stmt/bin/ffmpeg -hide_banner -i ""./input/WatchingEyeTexture.mkv"" -threads 8 -y -c:v libx264 -preset medium -crf 23  -loglevel error /dev/shm/out.mp4"
"copy_passthrough","ffmpeg-tsan-stmt","1/1",0.4700,0.0000,0.4700,0.4700,0.3800,0.0800,82952,"ffmpeg-tsan-stmt/bin/ffmpeg -hide_banner -i ""./input/WatchingEyeTexture.mkv"" -threads 8 -y -c:v copy -c:a copy  -loglevel error /dev/shm/out.mkv"
"mjpeg","ffmpeg-tsan-stmt","1/1",17.7700,0.0000,17.7700,17.7700,200.3400,1.9600,566536,"ffmpeg-tsan-stmt/bin/ffmpeg -hide_banner -i ""./input/WatchingEyeTexture.mkv"" -threads 8 -y -c:v mjpeg -pix_fmt yuvj420p -q:v 2  -loglevel error /dev/shm/out.avi"
"h265_libx265","ffmpeg-tsan-stmt","1/1",53.0200,0.0000,53.0200,53.0200,578.7300,8.3500,1854564,"ffmpeg-tsan-stmt/bin/ffmpeg -hide_banner -i ""./input/WatchingEyeTexture.mkv"" -threads 8 -y -c:v libx265 -preset medium -crf 28 -tag:v hvc1  -loglevel error /dev/shm/out.mp4"
