config,test,n,median,mean,sd
tsan-sound-wp,walthread2,5,6671.0,6659.4,68.31764047447774
tsan-sound-wp,dynamic_triggers,5,120200.0,126240.0,21877.111326681134
tsan-sound-wp,checkpoint_starvation_1,5,168740,169476,1907.3349207729616
tsan-sound-wp,checkpoint_starvation_2,5,766,766,0.0
tsan-sound-wp,stress1,5,115416.0,118592.6,20604.214066544737
tsan-sound-wp,stress2,5,31502.0,31153.6,1189.9230227203775
tsan-st,walthread1,5,2797.0,2760.0,101.30893346590912
tsan-st,walthread2,5,6724.0,6692.4,61.516664408922566
tsan-st,dynamic_triggers,5,133600.0,134480.0,26566.74613120696
tsan-st,checkpoint_starvation_1,5,167524,167414.8,3699.241233009818
tsan-st,checkpoint_starvation_2,5,766,766,0.0
tsan-st,stress1,5,107440.0,108296.6,3188.5467379356382
tsan-st,stress2,5,30903.0,31146.4,561.01853801813
tsan-stmt,walthread1,5,2719.0,2729.4,25.65735761920935
tsan-stmt,walthread2,5,6534.0,6524.8,36.83340874803743
tsan-stmt,dynamic_triggers,5,114800.0,126240.0,27942.58398931638
tsan-stmt,checkpoint_starvation_1,5,166344,166157.4,1621.8177456175524
tsan-stmt,checkpoint_starvation_2,5,766,766,0.0
tsan-stmt,stress1,5,118080.0,113363.4,14843.113615411019
tsan-stmt,stress2,5,30138.0,30212.6,977.3813482975823
tsan-swmr,walthread1,5,2812.0,2803.8,17.555625878902752
tsan-swmr,walthread2,5,6692.0,6686.4,34.44270604932197
tsan-swmr,dynamic_triggers,5,128400.0,140560.0,30045.76509260498
tsan-swmr,checkpoint_starvation_1,5,168536,167635,1785.3468850618358
tsan-swmr,checkpoint_starvation_2,5,766,766,0.0
tsan-swmr,stress1,5,105535.0,106436.6,10957.342734440683
tsan-swmr,stress2,5,30401.0,29720.2,1978.6100424287754
