claude samples=1840 peak_pcpu=5.3
remote-dev-serv samples=499 peak_pcpu=59.6
sshd samples=60 peak_pcpu=0.8
Rider.Backend samples=48 peak_pcpu=5.2
cc1plus samples=34 peak_pcpu=107.0
anvil samples=29 peak_pcpu=102.0
verilator_bin samples=7 peak_pcpu=100.0
python3 samples=7 peak_pcpu=102.0
mysqladmin samples=7 peak_pcpu=200.0
ccache samples=4 peak_pcpu=9.6
git-remote-http samples=2 peak_pcpu=9.5
git samples=2 peak_pcpu=110.0
Variane_testhar samples=2 peak_pcpu=100.0
