Running walthread1 for 20 seconds...
Thread 49 says: 40 checkpoints
Thread 48 says: 57 iterations
Thread 47 says: 71 iterations
Thread 46 says: 59 iterations
Thread 45 says: 50 iterations
Thread 44 says: 60 iterations
Thread 43 says: 78 iterations
Thread 42 says: 48 iterations
Thread 41 says: 50 iterations
Thread 40 says: 60 iterations
Thread 39 says: 62 iterations
Thread 38 says: 67 iterations
Thread 37 says: 65 iterations
Thread 36 says: 56 iterations
Thread 35 says: 56 iterations
Thread 34 says: 40 iterations
Thread 33 says: 49 iterations
Thread 32 says: 54 iterations
Thread 31 says: 63 iterations
Thread 30 says: 79 iterations
Thread 29 says: 46 iterations
Thread 28 says: 66 iterations
Thread 27 says: 55 iterations
Thread 26 says: 46 iterations
Thread 25 says: 59 iterations
Thread 24 says: 52 iterations
Thread 23 says: 61 iterations
Thread 22 says: 56 iterations
Thread 21 says: 47 iterations
Thread 20 says: 76 iterations
Thread 19 says: 60 iterations
Thread 18 says: 66 iterations
Thread 17 says: 51 iterations
Thread 16 says: 61 iterations
Thread 15 says: 58 iterations
Thread 14 says: 72 iterations
Thread 13 says: 55 iterations
Thread 12 says: 60 iterations
Thread 11 says: 55 iterations
Thread 10 says: 60 iterations
Thread 9 says: 71 iterations
Thread 8 says: 63 iterations
Thread 7 says: 54 iterations
Thread 6 says: 63 iterations
Thread 5 says: 60 iterations
Thread 4 says: 66 iterations
Thread 3 says: 60 iterations
Thread 2 says: 57 iterations
Thread 1 says: 47 iterations
0 errors out of 1 tests
