Codec,FFBUILD,runs_completed,mean_time_s,stddev_time_s,min_time_s,max_time_s,mean_user_s,mean_system_s,max_mem_kb,command_template
"h264_libx264","ffmpeg-tsan-dom_peeling-ea-lo-st-swmr-yoff","1/1",45.3600,0.0000,45.3600,45.3600,232.6300,7.0400,579688,"ffmpeg-tsan-dom_peeling-ea-lo-st-swmr-yoff/bin/ffmpeg -hide_banner -i ""./input/WatchingEyeTexture.mkv"" -threads 4 -y -c:v libx264 -preset medium -crf 23  -loglevel error /dev/shm/out.mp4"
"copy_passthrough","ffmpeg-tsan-dom_peeling-ea-lo-st-swmr-yoff","1/1",0.7700,0.0000,0.7700,0.7700,0.6700,0.1000,81836,"ffmpeg-tsan-dom_peeling-ea-lo-st-swmr-yoff/bin/ffmpeg -hide_banner -i ""./input/WatchingEyeTexture.mkv"" -threads 4 -y -c:v copy -c:a copy  -loglevel error /dev/shm/out.mkv"
"mjpeg","ffmpeg-tsan-dom_peeling-ea-lo-st-swmr-yoff","1/1",25.1600,0.0000,25.1600,25.1600,177.5200,1.5900,428588,"ffmpeg-tsan-dom_peeling-ea-lo-st-swmr-yoff/bin/ffmpeg -hide_banner -i ""./input/WatchingEyeTexture.mkv"" -threads 4 -y -c:v mjpeg -pix_fmt yuvj420p -q:v 2  -loglevel error /dev/shm/out.avi"
"h265_libx265","ffmpeg-tsan-dom_peeling-ea-lo-st-swmr-yoff","1/1",54.4800,0.0000,54.4800,54.4800,571.8900,7.3100,1646720,"ffmpeg-tsan-dom_peeling-ea-lo-st-swmr-yoff/bin/ffmpeg -hide_banner -i ""./input/WatchingEyeTexture.mkv"" -threads 4 -y -c:v libx265 -preset medium -crf 28 -tag:v hvc1  -loglevel error /dev/shm/out.mp4"
