claude samples=104 peak_pcpu=5.6
memtier_benchma samples=82 peak_pcpu=891.0
cc1plus samples=14 peak_pcpu=105.0
ccache samples=4 peak_pcpu=7.6
verilator_bin samples=1 peak_pcpu=100.0
python3 samples=1 peak_pcpu=4.3
bench_one.sh samples=1 peak_pcpu=8.3
Variane_testhar samples=1 peak_pcpu=100.0
Rider.Backend samples=1 peak_pcpu=5.5
