claude samples=1969 peak_pcpu=5.3
Variane_testhar samples=145 peak_pcpu=133.0
python3 samples=104 peak_pcpu=71.4
Rider.Backend samples=59 peak_pcpu=5.2
sshd samples=49 peak_pcpu=0.8
code-7debcd0e2a samples=25 peak_pcpu=1.0
MainThread samples=13 peak_pcpu=1.5
mysqladmin samples=7 peak_pcpu=33.3
git-remote-http samples=3 peak_pcpu=2.7
git samples=3 peak_pcpu=111.0
make samples=1 peak_pcpu=200.0
