Running walthread1 for 20 seconds...
Thread 17 says: 40 checkpoints
Thread 16 says: 174 iterations
Thread 15 says: 156 iterations
Thread 14 says: 162 iterations
Thread 13 says: 191 iterations
Thread 12 says: 184 iterations
Thread 11 says: 181 iterations
Thread 10 says: 158 iterations
Thread 9 says: 184 iterations
Thread 8 says: 186 iterations
Thread 7 says: 141 iterations
Thread 6 says: 162 iterations
Thread 5 says: 182 iterations
Thread 4 says: 153 iterations
Thread 3 says: 170 iterations
Thread 2 says: 185 iterations
Thread 1 says: 156 iterations
0 errors out of 1 tests
