app,config,hash,memory_access_sites,tsan_calls_total,sha256,build_seconds
redis,orig,f3deebfbab60,0,0,45ae21817e3c5f8c4006baee7f1d6a4ea373eb7afce5cc276b3ef97177a81975,6
redis,tsan,f3deebfbab60,37922,45186,c0debeaa4d20dd0ffa990427677b657038972066e8ff12b2e93d7b17c41397a3,6
redis,tsan-dom_peeling-ea-lo-st-swmr,f3deebfbab60,43272,50591,3afb70c9a36fa0394f2cafe3ae3714bd40e24903d41aa769dea009b071a2731f,7
redis,tsan-stmt,f3deebfbab60,37863,45126,1490d9b334019bb2d88e0676ed105b9f6d3974d8c4d086b22307e04591ee6a8a,6
redis,tsan-dom_peeling-ea-lo-st-swmr-stmt,f3deebfbab60,43248,50566,7c916c60ad60bf14acf35398895141d25165ace79e0aeeb18f75715cd034f46d,8
