claude samples=1849 peak_pcpu=5.3
sshd samples=67 peak_pcpu=0.8
Rider.Backend samples=56 peak_pcpu=5.2
MainThread samples=50 peak_pcpu=0.7
Variane_testhar samples=46 peak_pcpu=106.0
cc1plus samples=27 peak_pcpu=133.0
compile samples=25 peak_pcpu=1400.0
python3 samples=24 peak_pcpu=17.5
ccache samples=11 peak_pcpu=12.0
go_bootstrap samples=9 peak_pcpu=1219.0
mysqladmin samples=6 peak_pcpu=4.3
go samples=4 peak_pcpu=85.6
link samples=3 peak_pcpu=300.0
verilator_bin samples=1 peak_pcpu=101.0
git-remote-http samples=1 peak_pcpu=1.9
git samples=1 peak_pcpu=83.7
docker samples=1 peak_pcpu=1.3
