Codec,FFBUILD,runs_completed,mean_time_s,stddev_time_s,min_time_s,max_time_s,mean_user_s,mean_system_s,max_mem_kb,command_template
"h264_libx264","ffmpeg-orig","1/1",21.1500,0.0000,21.1500,21.1500,158.6000,0.5900,378048,"ffmpeg-orig/bin/ffmpeg -hide_banner -i ""./input/WatchingEyeTexture.mkv"" -threads 8 -y -c:v libx264 -preset medium -crf 23  -loglevel error /dev/shm/out.mp4"
"copy_passthrough","ffmpeg-orig","1/1",0.1400,0.0000,0.1400,0.1400,0.1000,0.0400,24016,"ffmpeg-orig/bin/ffmpeg -hide_banner -i ""./input/WatchingEyeTexture.mkv"" -threads 8 -y -c:v copy -c:a copy  -loglevel error /dev/shm/out.mkv"
"mjpeg","ffmpeg-orig","1/1",3.6300,0.0000,3.6300,3.6300,34.5900,0.4800,170072,"ffmpeg-orig/bin/ffmpeg -hide_banner -i ""./input/WatchingEyeTexture.mkv"" -threads 8 -y -c:v mjpeg -pix_fmt yuvj420p -q:v 2  -loglevel error /dev/shm/out.avi"
"h265_libx265","ffmpeg-orig","1/1",40.1300,0.0000,40.1300,40.1300,395.5500,2.9800,630616,"ffmpeg-orig/bin/ffmpeg -hide_banner -i ""./input/WatchingEyeTexture.mkv"" -threads 8 -y -c:v libx265 -preset medium -crf 28 -tag:v hvc1  -loglevel error /dev/shm/out.mp4"
