Running walthread1 for 20 seconds...
Thread 17 says: 40 checkpoints
Thread 16 says: 291 iterations
Thread 15 says: 301 iterations
Thread 14 says: 298 iterations
Thread 13 says: 314 iterations
Thread 12 says: 291 iterations
Thread 11 says: 395 iterations
Thread 10 says: 293 iterations
Thread 9 says: 292 iterations
Thread 8 says: 279 iterations
Thread 7 says: 304 iterations
Thread 6 says: 268 iterations
Thread 5 says: 282 iterations
Thread 4 says: 320 iterations
Thread 3 says: 301 iterations
Thread 2 says: 338 iterations
Thread 1 says: 274 iterations
0 errors out of 1 tests
