claude samples=1815 peak_pcpu=5.3
cc1plus samples=96 peak_pcpu=150.0
Variane_testhar samples=89 peak_pcpu=104.0
Rider.Backend samples=42 peak_pcpu=5.2
sshd samples=34 peak_pcpu=0.8
anvil samples=24 peak_pcpu=100.0
ccache samples=20 peak_pcpu=25.0
python3 samples=14 peak_pcpu=5.1
verilator_bin samples=9 peak_pcpu=110.0
perl samples=8 peak_pcpu=16.0
mysqladmin samples=7 peak_pcpu=20.0
git samples=3 peak_pcpu=1800.0
java samples=2 peak_pcpu=179.0
git-remote-http samples=1 peak_pcpu=1.2
