claude samples=940 peak_pcpu=5.3
cc1plus samples=36 peak_pcpu=111.0
Rider.Backend samples=35 peak_pcpu=5.2
sshd samples=27 peak_pcpu=0.8
compile samples=10 peak_pcpu=900.0
MainThread samples=8 peak_pcpu=0.6
Variane_testhar samples=4 peak_pcpu=99.9
go samples=2 peak_pcpu=92.1
cc1 samples=2 peak_pcpu=106.0
java samples=1 peak_pcpu=147.0
crdb_nogo_actua samples=1 peak_pcpu=1400.0
cgo samples=1 peak_pcpu=60.0
anvil samples=1 peak_pcpu=100.0
