claude samples=1678 peak_pcpu=5.3
MainThread samples=76 peak_pcpu=0.9
Rider.Backend samples=54 peak_pcpu=5.2
sshd samples=40 peak_pcpu=3.8
anvil samples=29 peak_pcpu=100.0
python3 samples=14 peak_pcpu=28.3
Variane_testhar samples=9 peak_pcpu=101.0
mysqladmin samples=7 peak_pcpu=12.5
verilator_bin samples=4 peak_pcpu=200.0
pgrep samples=1 peak_pcpu=133.0
perl samples=1 peak_pcpu=200.0
git-remote-http samples=1 peak_pcpu=1.3
